bio1,bio12,tconmean,lenferr,lenroadr,urbr,popdi,numazr,redre,coorx,coory,fnat,frob,nocom,noreg,areagis_ha,popde,shdi
12,839,20.9,0.238506496,3.51996758,0.6,0.018440654,6.01,11898,383325,4995235,0,0.030681332,Alpignano,Piemonte,1191.928175,1426,1.714950691
12.1,790.5,21.125,0,2.575237303,0.009358289,0.195894428,4.61,11205,410700,4987583,0,0.021052632,Andezeno,Piemonte,748.6020103,245,1.276379843
12.2,780,21.2,0,2.699510984,0.243013366,0.307349666,5.16,10593,413271,4987735,0,0.048599207,Arignano,Piemonte,816.6839101,115,0.623227846
11.7,813,20.2,0.120662488,3.346033171,0.002579536,0.085546522,3.76,12410,373438,4992531,0.13,0.027483934,Avigliana,Piemonte,2321.717309,507,1.881793921
11.7,861,20.6,0,3.357371054,0.078947368,0.173469388,6.99,10755,421233,5030385,0,0.106068972,Azeglio,Piemonte,996.0537188,132,1.53483749
11.6,822.5,20.3,0,2.890194917,0.057509771,0.0669848,2.85,14171,375722,4997294,0.11,0.180413525,Almese,Piemonte,1787.563784,331,1.647827891
11.275,852,20.425,0,3.641873662,0.099162011,0.276649746,5.15,10471,401934,5025572,0,0.090503676,Bairo,Piemonte,708.5859125,117,1.495168754
10.625,862.75,19.925,0,2.818828303,0.105263158,0.614035088,5.69,12551,401762,5028856,0.2,0.146325226,Baldissero Canavese,Piemonte,450.6384919,117,1.355009269
11.6,806,20.6,0,2.309094085,0.003880983,0.322749692,3.8,16713,405904,4991402,0,0.170498656,Baldissero Torinese,Piemonte,1540.54274,226,1.271173572
11.6,849.5,20.55,0,6.189022324,0.138248848,0.000875401,1.19,16464,410408,5034543,0,0.083838533,Banchette,Piemonte,202.8853709,1585,1.064401254
11.325,854,20.375,0,2.204717565,0.0875,0.492224476,7.53,11444,391842,5016587,0,0.287775235,Barbania,Piemonte,1280.272729,120,1.248718827
11.625,848,20.775,0,1.925588151,1,0.073129252,3.93,10760,411085,5018943,0,0.160771624,Barone Canavese,Piemonte,398.6387507,147,1.49497937
12.25,857,21.65,0.203752434,2.908828402,0.883704735,0.010268872,14.9,11274,395543,4999981,0,0.028954147,Borgaro Torinese,Piemonte,1432.614903,927,1.301233787
11.8,853,20.8,0,1.86039532,0.012759171,0.094387755,7.96,10209,420167,5023733,0,0.154390843,Borgomasino,Piemonte,1237.115425,65,1.336677174
12.63333333,824,21.53333333,0,8.211139566,0.147928994,0.000604462,6.17,11445,388919,4985727,0,0.009904519,Beinasco,Piemonte,673.4253986,2721,1.513700953
11.48333333,796.8333333,19.16666667,0,2.832744109,0.001609442,0.420168067,3.1,9526,364222,4960834,0.05,0.035084606,Bibiana,Piemonte,1859.790939,161,1.260875382
11.7,818,20.3,0.310821082,3.529436284,0.063030303,0.033022474,8.21,13747,376832,4992296,0.11,0.071863461,Buttigliera Alta,Piemonte,809.7279556,797,1.808663519
11.83333333,842,20.96666667,0.18284754,2.295757009,0.066278776,0.018087493,7.66,11558,412364,5014816,0,0.048318035,Caluso,Piemonte,3949.251505,187,1.093504307
12.7,815,21.4,0.312708247,2.878903515,0.082352941,0.025425386,13.47,11438,387882,4979931,0,0.004717339,Candiolo,Piemonte,1184.990661,453,1.021538038
11.9,846,21,0.347353464,1.667777525,0.03606853,0.092586266,6.46,10687,403293,5013677,0,0.173257624,Bosconero,Piemonte,1091.903638,270,1.039637087
12.3,825.5,21.4,0.504384301,3.156271169,0.343213729,0.015343203,5.8,11018,408413,5002900,0,0.002590838,Brandizzo,Piemonte,629.1365775,1220,1.655422023
11.62857143,793.8571429,19.44285714,0.264554107,2.540456849,0.035335689,0.381840796,3.39,10302,365462,4965739,0.14,0.070263857,Bricherasio,Piemonte,2275.848529,181,1.745551253
11.7,800,20.6,0.25572192,2.315727799,0.060402685,0.590804598,10.34,11642,426815,4996084,0.11,0.167087504,Brozolo,Piemonte,895.0403666,54,1.000024337
12.3,817,20.8,0,5.105350052,0.427549195,0.010673235,3.53,11833,379758,4985673,0,0,Bruino,Piemonte,557.0123167,1418,1.305967333
12.1,808,20.8,0.071670678,1.925471156,0.023627519,0.159254808,9.02,9754,426278,5000245,0,0.130905621,Brusasco,Piemonte,1435.92117,117,1.583590814
11.5,862,20.5,0,2.493777721,0.027874564,0.030753968,5.38,10650,418654,5027881,0.27,0.124155984,Caravino,Piemonte,1153.706208,90,1.186093696
12.9,788,21.23333333,0,2.156239985,0,0.132878455,10.09,10909,394326,4972382,0,0.014668798,Carignano,Piemonte,5067.895665,175,0.59267516
10.675,825.5,19.25,0,2.23639994,0.053859964,0.328027014,0.85,11721,368489,4978925,0.27,0.092762141,Cantalupa,Piemonte,1119.526997,200,0.800588113
12.6,794,21.4,0.407403309,3.383987948,0.106188467,0.0146577,3.44,11576,402680,4980346,0,0.036217218,Cambiano,Piemonte,1413.135532,423,1.155280081
12.3,777,19.7,0,3.401128917,0.350719424,0.657320872,5.62,9113,367707,4962628,0,0.038434825,Campiglione Fenile,Piemonte,1108.63494,120,0.562249373
11.7,846.25,20.825,0.375361389,2.285098862,0.001089325,0.104454685,4.01,11760,413601,5020250,0.25,0.094044986,Candia Canavese,Piemonte,913.1763211,144,1.793892545
10.85,858.25,20.1,0.08997273,2.598890037,0.003376623,0.205702194,4.43,10844,399498,5028707,0.41,0.063087921,Castellamonte,Piemonte,3870.629576,242,1.876112728
11.8,808.1666667,20.81666667,0,2.717612373,0.148809524,0.495892019,4.83,9997,416306,4997896,0.17,0.193679503,Casalborgone,Piemonte,2012.500737,89,0.989808213
11.6,832,20.5,0,1.645903449,0.014064698,0.021188044,10.36,12399,379626,4995885,0.19,0.010248994,Caselette,Piemonte,1431.359558,190,1.988513227
11.9,865,21.1,0.150736275,2.734814014,0.094109446,0.080280003,11.65,11035,394699,5003148,0,0.025742298,Caselle Torinese,Piemonte,2871.151426,585,1.34010933
11.4,821,20.6,0,2.597153007,0.019047619,0.465263158,2.75,14504,412980,5001608,0.42,0.17026636,Castagneto Po,Piemonte,1147.321186,136,0.838564272
11.9,818,21,0,2.459204215,0.688779111,0.276459854,2.6,14274,405868,4996171,0.2,0.111493155,Castiglione Torinese,Piemonte,1413.454985,408,1.722708776
12.1,807,20.9,0.327011515,2.567438037,1,0.195528277,4.51,9625,424085,4999625,0.21,0.24670479,Cavagnolo,Piemonte,1232.852322,189,1.384241151
12.72,771.8,19.92,0,2.903039662,0.020354162,0.500851789,7.3,9288,372579,4961387,0,0.02747191,Cavour,Piemonte,4895.911516,112,1.012050022
12.325,785.5,21.25,0.138153608,2.819612056,0.132596685,0.066873555,8.58,12441,407618,4984016,0,0.009033627,Chieri,Piemonte,5419.753464,632,1.174338463
12.3,854,21.6,0.172268717,5.317443594,0.201986755,0.009798246,9.79,12357,389065,4994062,0,0,Collegno,Piemonte,1809.931741,2739,1.606276183
11.5,849,20.6,0,3.056903811,0.215517241,0.038277512,3.67,13106,407131,5031457,0,0.096897198,Colleretto Giacosa,Piemonte,458.9448452,134,1.383390733
12.24,824.2,21.18,0.34723371,2.696448121,0.077957513,0.041145129,8.77,11513,413296,5006413,0,0.014294134,Chivasso,Piemonte,5123.777023,461,1.496797419
11.575,850.25,20.7,0,1.740762664,0.01875,0.173913043,6.09,9491,402942,5020316,0,0.004993995,Ciconio,Piemonte,316.3826391,110,0.011786216
11.825,798.25,20.875,0,2.17360469,0.004846527,0.549848943,3.55,12213,415203,4993832,0.5,0.164148995,Cinzano,Piemonte,619.6237371,63,1.235139994
11.5,861,20.7,0.207093721,3.260072698,0.006183249,0.054596437,5.47,11927,389433,5008318,0,0.031325953,Cirié,Piemonte,1773.285741,1046,1.672040197
11.45,865,20.5,0,3.516360901,0.055384615,0.325454545,2.01,8832,421701,5026377,0.5,0.067780385,Cossano Canavese,Piemonte,323.837461,170,1.09476381
11.775,849.25,20.875,0.327190807,2.755077113,0.332496863,0.054180887,7.01,9634,402652,5016515,0,0,Feletto,Piemonte,789.3050406,308,1.393435593
11.3,844,20.3,0,2.456005321,0.328137818,0.324081314,2.12,18750,384460,5007617,0.21,0.108159282,Fiano,Piemonte,1204.145545,217,1.686224297
12,842,21,0,2.100430625,0.038240918,0.027943197,7.81,10375,407674,5013318,0,0.199185563,Foglizzo,Piemonte,1564.267607,139,1.294238868
8.6,926,18.5,0,2.122425371,0.197250448,0.241657696,14.31,12389,387751,5022541,0.41,0.030581262,Forno Canavese,Piemonte,1650.028528,224,1.197673643
12.55,777.75,20.05,0,2.575518596,0.244897959,0.588235294,4.27,8224,370962,4965773,0,0.153949039,Garzigliana,Piemonte,740.1787579,71,1.618629748
11.2,855,20.4,0,3.514509285,0,0.130810811,2.68,11306,406995,5023417,0.14,0.126708291,Cuceglio,Piemonte,687.0912937,138,1.211880931
11.175,823.75,19.725,0,2.262591998,0.016447368,0.30966988,7.33,11053,372602,4980631,0.15,0.014287008,Cumiana,Piemonte,6073.350337,121,1.385615526
11.9,854.5,20.95,0,2.096726421,0.065052403,0.032544019,13.31,11583,387512,5000899,0,0.026082536,Druento,Piemonte,2753.945541,299,1.668082384
8.725,922.75,18.425,0,1.563709239,0.333333333,0.169781503,10.46,10852,366461,4987093,0.25,0.01418503,Giaveno,Piemonte,7173.761201,211,1.647316981
11.225,845.25,20.15,0,1.402585529,0.122065728,0.072212066,6.14,12938,381660,5002094,0.15,0.030499458,Givoletto,Piemonte,1281.994813,191,1.65032943
11.55,857.5,20.65,0,2.176705926,0.040413534,0.17997543,3.67,10141,395533,5014194,0,0.325852652,Front,Piemonte,1094.820861,156,1.344859787
12.25,794,20.2,0.095338244,2.454155915,0.000990099,0.139637976,5.19,10721,370408,4976959,0,0.048394942,Frossasco,Piemonte,2014.875674,140,1.825406098
11.9,812,21,0,2.30530001,0.055256724,0.126899612,4.32,11753,408626,4996684,0.14,0.166053981,Gassino Torinese,Piemonte,2051.084707,458,1.546558028
11.1,850,20.2,0,2.099737441,0.096997691,0.20242915,2.8,12069,387266,5013598,0,0.147172949,Grosso,Piemonte,432.9605124,231,1.128988746
12,809,20.9,0.180204363,1.503389454,0.155257586,0.1509299,5.82,10293,420563,5000441,0.31,0.164905528,Lauriano,Piemonte,1428.997719,102,1.56162067
12.1,854,21.35,0,2.981378514,0.184899846,0.180646241,9.2,10766,399407,5004525,0,0.009767076,Leini,Piemonte,3243.548558,383,0.934021784
11.2,852,20.2,0,2.045687088,0.044609665,0.079429735,3.67,13929,390358,5019469,0.14,0.068815848,Levone,Piemonte,539.1215726,88,1.078540705
11,857.5,20.2,0,1.596201567,0.058962264,0.060817547,2.35,12972,406833,5033125,0,0.128429642,Loranzè,Piemonte,419.1435563,249,1.550494838
12.375,742,20.8,0,2.036984054,0.021367521,0.037688442,10.11,8879,414007,4972920,0,0,Isolabella,Piemonte,477.1605074,88,0.22122537
